"Nom del fitxer","Pàgina","Paraula clau","Fragment","Ruta completa"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","3","usuari"," per generar contingut basat en les entrades dels USUARIs. La ràpida evolució d'aquestes eines, la compren","C:/OneDrive/OneDrive - Ajuntament de Mataró - M365/Aplicacions/Python/buscarPDFs/pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"IA Gen_LOCALRET.pdf","1","usuari","Europeu de Protecció de Dades es pronunciï o cada USUARI i usuària. establint clarament el que : objectius","C:/OneDrive/OneDrive - Ajuntament de Mataró - M365/Aplicacions/Python/buscarPDFs/pdfs\IA Gen_LOCALRET.pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","3","usuari"," per generar contingut basat en les entrades dels USUARIs. La ràpida evolució d'aquestes eines, la compren","C:/OneDrive/OneDrive - Ajuntament de Mataró - M365/Aplicacions/Python/buscarPDFs/pdfs\pdf1\pdf11\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","3","usuari"," per generar contingut basat en les entrades dels USUARIs. La ràpida evolució d'aquestes eines, la compren","C:/OneDrive/OneDrive - Ajuntament de Mataró - M365/Aplicacions/Python/buscarPDFs/pdfs\pdf2\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
